id,house,course,sex,wandCore,bloodStatus,result,Defence against the dark arts exam,Flying exam,Astronomy exam,Herbology exam,Divinations exam,Charms exam,History of magic exam,Arithmancy exam,Care of magical creatures exam,Muggle studies exam,Study of ancient runes exam,Transfiguration exam,Potions exam,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40
92,Gryffindor,2,male,dragon heartstring,half-blood,49,37,53,33,55,55,37,34,59,64,37,40,41,23,0,-1,-10,-5,-10,1,-3,-3,1,-10,0,-1,10,-1,-1,3,-1,3,0,5,5,10,-5,0,10,10,10,1,20,-1,1,1,-5,5,20,-5,0,-10,0,5
93,Slytherin,2,female,dragon heartstring,half-blood,92,49,49,59,62,72,33,46,41,46,53,49,65,62,5,1,0,0,0,1,5,-3,-1,3,5,-1,1,10,1,3,1,0,-5,5,20,0,20,5,-20,0,10,3,1,0,5,0,3,3,10,3,3,-5,-5,5
94,Gryffindor,1,male,dragon heartstring,pure-blood,23,53,24,38,43,40,42,28,50,34,51,55,22,64,1,0,-3,3,10,-3,-5,0,-10,-3,-3,20,-10,-3,1,20,-3,0,-1,5,0,0,20,-5,10,3,-5,0,5,3,0,5,5,-10,-20,-3,-5,0,5,-1
95,Hufflepuff,1,male,phoenix feather,muggle-born,-16,51,48,44,55,58,33,29,47,35,36,30,29,54,5,3,0,-3,10,-5,-3,5,1,-5,0,1,5,-1,-20,1,-3,-1,-3,-20,0,20,-5,-20,-3,0,-5,20,-1,0,-1,-5,5,0,-1,5,5,-1,1,3
96,Ravenclaw,7,female,phoenix feather,half-blood,129,54,61,49,58,44,33,35,75,79,70,53,22,0,10,5,1,20,10,0,10,0,5,5,10,10,1,10,5,3,5,0,-1,-20,10,1,5,5,0,20,5,-10,1,0,-10,3,1,5,10,1,10,0,3,-20
97,Ravenclaw,2,female,unicorn hair,half-blood,129,50,40,45,71,57,58,77,51,51,60,67,76,45,3,20,0,1,10,1,-5,5,3,-20,-3,1,3,5,10,10,3,1,20,1,10,20,5,1,0,0,0,-1,0,0,20,0,0,-3,-5,1,1,20,1,-10
98,Hufflepuff,1,male,dragon heartstring,half-blood,57,54,28,47,50,57,41,54,39,49,40,38,67,51,1,20,0,0,-20,3,1,-3,-3,-1,10,20,5,3,-20,20,10,-20,-10,20,3,-3,0,-20,3,5,5,5,0,-5,-5,20,-1,10,0,5,0,20,-1,-20
99,Ravenclaw,2,female,unicorn hair,muggle-born,153,55,56,63,68,49,61,60,65,64,71,49,53,1,-10,0,20,-5,5,-5,0,-1,10,0,10,1,10,10,20,-1,5,1,3,5,-20,-5,10,5,3,5,5,0,5,1,3,5,5,20,10,1,0,1,1,20
100,Ravenclaw,1,male,unicorn hair,half-blood,98,59,55,46,51,58,64,48,39,56,51,42,70,57,1,1,0,0,10,3,0,0,-1,5,5,3,-20,5,5,5,5,-3,-1,5,0,10,20,0,1,0,-5,0,-20,1,20,5,0,0,-3,5,10,20,5,1
101,Gryffindor,4,male,unicorn hair,half-blood,84,36,48,36,44,52,31,51,38,46,43,59,36,7,-5,10,-5,10,5,5,5,-5,1,10,-3,-20,20,0,-1,-5,0,-10,3,1,0,5,5,20,-1,3,20,-20,0,1,-10,1,0,20,10,1,5,0,3,5
102,Slytherin,6,female,dragon heartstring,half-blood,86,45,58,46,58,41,63,42,73,50,62,34,91,86,5,3,-5,1,10,-5,5,1,-1,5,1,0,0,3,5,0,1,5,1,0,-10,1,5,0,0,10,-20,3,-10,5,1,0,20,10,20,-10,-1,-3,20,10
103,Slytherin,5,male,dragon heartstring,half-blood,-115,42,18,17,32,24,22,30,16,22,30,0,25,84,20,-5,-1,0,-5,-10,-1,-1,-1,-3,-1,0,-20,5,-5,-5,10,-10,-3,-5,-5,-5,-5,-1,-20,-3,10,3,0,-3,0,0,-1,5,-20,-5,-1,-10,-10,-3
104,Slytherin,3,male,unicorn hair,half-blood,-207,15,28,0,11,16,10,0,17,0,16,13,14,86,-10,-5,-1,3,-10,0,-1,-20,-5,-5,-10,3,-20,-5,1,-5,-5,-1,-1,-10,-5,-20,-1,-10,0,3,-1,-10,-10,0,-1,0,-10,-1,-20,0,-1,-5,-3,-5
105,Ravenclaw,2,female,unicorn hair,half-blood,71,42,56,71,44,56,48,38,43,62,39,63,53,3,-5,-5,0,1,3,-5,-5,5,3,-20,0,1,10,10,0,10,3,-1,10,-5,10,1,5,1,3,20,3,-10,3,10,1,5,0,10,0,3,0,1,-5,0
106,Hufflepuff,7,female,dragon heartstring,half-blood,74,62,36,59,53,58,54,60,48,58,47,42,33,44,3,10,0,5,1,-5,-1,3,10,5,5,-1,5,0,-10,5,5,5,-5,10,5,10,10,1,0,3,5,1,0,5,-3,0,-20,10,0,5,-5,0,0,-3
107,Gryffindor,1,female,phoenix feather,half-blood,-60,22,43,22,33,31,29,29,43,43,19,32,36,65,-3,-20,10,-5,-5,5,5,-10,0,-20,-5,0,3,5,3,1,-3,0,0,-3,5,10,10,1,20,-3,5,0,-10,-10,-10,-5,-3,-5,10,1,-20,5,1,-20
108,Ravenclaw,3,female,phoenix feather,half-blood,90,42,34,59,53,75,41,74,57,28,43,71,43,48,1,5,5,-1,3,5,0,0,1,0,0,5,3,1,0,5,1,10,10,-1,0,0,-10,5,-5,-5,-5,20,1,5,1,0,0,5,5,-10,5,5,10,10
109,Ravenclaw,7,female,phoenix feather,half-blood,152,50,69,49,49,69,68,65,39,63,79,39,100,52,-1,1,10,3,1,-5,5,1,0,0,10,0,10,5,-20,5,5,10,1,-5,-5,5,10,20,0,-3,20,1,0,10,0,0,0,10,20,20,0,0,3,5
110,Ravenclaw,5,female,unicorn hair,half-blood,157,56,36,55,41,60,59,69,61,51,62,67,96,32,-5,1,5,0,10,3,10,-20,10,10,0,0,-1,20,5,10,5,0,0,1,10,1,0,1,-10,3,1,3,0,20,5,10,5,20,3,1,0,1,-1,20
111,Gryffindor,1,female,phoenix feather,muggle-born,-39,31,30,52,41,32,41,34,28,27,30,37,51,19,-3,5,1,10,0,10,10,3,-5,-5,1,-5,1,10,5,-5,-10,1,3,-20,-5,5,-3,10,-5,0,-1,-20,10,-20,-3,0,-10,1,1,-1,10,5,0,-20
112,Gryffindor,3,female,unicorn hair,pure-blood,-15,39,19,24,55,47,44,34,43,40,36,19,52,59,-20,5,-3,10,-3,3,-10,5,-10,0,10,-1,0,-10,-20,1,5,3,3,10,-10,10,-10,-1,-3,20,-3,-3,-5,0,20,-10,10,0,-5,-5,1,-20,1,20
113,Ravenclaw,1,male,phoenix feather,half-blood,88,77,39,54,70,40,53,47,29,61,50,46,49,36,-10,-5,20,1,10,0,1,5,5,5,1,-5,-20,0,1,1,3,1,10,20,0,-5,5,1,0,5,-20,-1,10,10,-10,10,-1,20,0,-5,10,0,10,5
114,Gryffindor,5,male,unicorn hair,muggle-born,10,46,55,40,61,54,43,28,39,44,41,27,46,43,-5,10,-1,5,0,3,-10,-5,3,0,5,3,10,5,1,0,0,5,-10,5,0,0,0,10,10,0,5,-5,-10,-20,1,0,-3,1,20,-20,0,3,-5,-1
115,Ravenclaw,5,male,phoenix feather,muggle-born,214,82,65,64,76,59,87,67,78,62,63,63,65,11,5,3,10,10,20,3,20,0,10,3,5,0,1,20,-1,5,20,3,0,10,5,-20,20,5,-10,10,3,3,20,3,1,0,20,0,0,1,3,3,-10,10
116,Hufflepuff,1,female,phoenix feather,half-blood,109,66,50,63,64,51,48,63,59,68,52,64,46,47,20,3,0,1,-10,-5,5,-1,-20,5,1,5,0,0,0,-3,5,3,0,10,0,0,5,0,5,10,1,20,0,20,1,0,0,0,20,5,5,3,-5,0
117,Hufflepuff,3,female,dragon heartstring,half-blood,176,57,64,73,39,65,72,52,64,58,57,78,67,44,5,-1,0,1,0,10,-3,5,3,1,-3,3,10,1,10,10,-1,5,10,5,5,0,20,5,5,5,20,3,1,10,20,5,1,-5,-3,-10,5,20,1,-3
118,Slytherin,7,female,unicorn hair,half-blood,168,50,54,52,65,58,61,56,58,57,80,72,46,73,1,-5,10,5,5,0,10,-5,-1,10,1,-3,-3,-3,-10,20,5,0,1,10,10,20,-20,20,1,20,0,20,0,1,-10,5,0,3,10,5,20,20,-5,0
119,Hufflepuff,6,female,unicorn hair,muggle-born,94,52,52,79,39,39,66,61,68,56,46,55,79,42,3,3,-10,10,20,0,20,0,1,-5,-20,20,20,5,5,1,3,3,-1,10,1,10,-10,1,-5,5,-10,10,0,5,3,10,-10,0,0,-20,0,10,5,1
120,Gryffindor,4,male,dragon heartstring,half-blood,58,51,47,27,68,43,44,51,45,65,40,58,55,16,0,3,5,1,5,-5,0,0,-10,0,10,5,-5,5,0,3,-10,3,5,0,-1,10,10,1,0,-20,10,10,20,-20,3,20,-1,-5,1,5,-5,20,-20,5
121,Gryffindor,6,female,unicorn hair,pure-blood,37,44,46,32,43,59,43,45,35,44,57,43,42,64,5,-5,0,20,-1,-1,-5,-10,-10,-1,5,-5,20,5,-1,10,1,0,-5,-5,0,20,0,0,3,-1,1,10,3,5,-5,5,3,1,5,-20,-10,10,-5,-5
122,Hufflepuff,7,female,unicorn hair,half-blood,55,60,62,53,55,35,49,61,59,56,66,45,32,9,-20,1,10,-20,5,5,0,1,10,-10,0,-10,5,1,10,20,20,5,0,-5,10,5,0,-20,-1,0,1,5,10,-3,0,5,20,0,-3,0,-20,10,3,5
123,Gryffindor,3,male,dragon heartstring,half-blood,-19,45,45,35,73,42,32,39,50,36,41,40,10,63,1,-3,5,5,3,20,1,-5,-3,10,-20,-5,-10,-5,20,20,0,0,-5,-20,3,0,-20,10,10,-5,-1,3,-5,-20,1,5,-1,-5,5,20,-3,0,-20,-5
124,Slytherin,6,male,dragon heartstring,half-blood,-116,2,20,11,36,19,23,25,36,25,25,21,0,59,-1,0,-1,0,0,-5,-1,-1,-5,-1,10,5,-1,0,0,-5,-20,10,-1,-5,-3,-3,-10,-5,3,-10,0,-5,3,-20,0,-1,-5,0,-10,-5,-5,-20,5,-3
125,Slytherin,4,female,dragon heartstring,half-blood,168,63,55,59,70,44,59,57,72,61,66,68,62,74,0,3,-3,20,3,0,3,5,20,5,-5,5,0,0,1,-10,10,-1,0,10,10,-5,-1,5,1,1,10,0,10,0,3,1,3,10,10,1,3,20,0,20
126,Slytherin,6,male,phoenix feather,half-blood,-126,17,0,17,29,29,25,22,34,21,37,27,22,85,0,-20,-20,-5,-5,-10,-5,-5,0,5,-10,-5,0,-10,0,-5,3,-20,0,-1,-5,-3,-5,-10,0,-5,0,-10,-5,10,1,20,20,0,20,-20,-5,-20,5,-1
127,Hufflepuff,2,female,unicorn hair,half-blood,84,52,46,46,36,51,56,48,64,52,70,46,58,6,-5,3,3,0,5,5,5,-5,20,1,5,3,5,0,1,0,10,-3,3,-20,3,1,-1,10,0,5,3,1,5,3,1,5,1,1,5,10,5,-5,-10,5
128,Slytherin,6,female,phoenix feather,half-blood,188,63,67,76,75,56,66,82,66,51,44,65,55,90,3,0,1,20,3,3,0,10,-5,0,0,0,10,-3,3,20,20,5,5,3,1,-10,1,3,20,3,20,1,3,5,10,0,1,5,-10,20,10,3,1,3
129,Gryffindor,7,male,phoenix feather,muggle-born,-77,19,20,19,17,22,20,5,29,29,41,27,19,62,-10,0,3,-10,-3,-3,1,0,20,-20,1,-20,0,3,-5,5,3,0,3,-10,-5,-5,-1,3,0,-20,1,-1,5,3,5,-20,-1,5,3,-10,-5,5,3,0
130,Slytherin,5,female,unicorn hair,muggle-born,126,53,59,59,52,55,63,55,60,56,44,56,100,77,-20,5,10,1,3,1,5,5,20,10,20,1,0,0,0,10,-20,-20,0,5,1,1,-20,10,20,0,20,0,1,20,5,1,5,5,5,10,-10,1,10,5
131,Slytherin,3,female,phoenix feather,pure-blood,110,33,66,61,56,50,48,66,33,26,68,56,65,73,-5,20,-1,5,-5,1,-5,5,3,3,0,3,3,20,3,20,1,0,0,3,5,5,5,-10,0,10,5,20,10,0,10,3,-10,0,10,-20,1,1,1,-10
132,Hufflepuff,7,male,dragon heartstring,half-blood,-11,33,25,49,35,28,43,34,37,57,50,38,20,56,-5,10,-3,-1,3,-1,5,0,-20,10,-20,-10,0,3,-20,20,0,1,0,1,5,5,1,-1,10,-20,-1,-10,1,3,5,1,5,20,-3,-5,-20,10,10,0
133,Hufflepuff,3,female,unicorn hair,half-blood,17,18,52,33,40,40,23,42,33,59,42,50,42,58,0,0,10,0,1,1,-10,5,0,-10,-10,3,-20,10,5,5,-5,-5,10,0,5,1,-5,5,10,-10,-1,-10,1,0,5,5,-10,1,-10,5,5,20,5,5
134,Gryffindor,4,female,phoenix feather,half-blood,-100,38,20,31,26,30,19,4,37,24,18,26,37,13,10,-5,20,-3,0,5,10,-3,-10,-10,1,10,5,-20,1,5,-20,3,10,-20,1,-5,-20,0,1,0,-50,1,5,-20,5,-5,5,-20,10,0,0,3,-3,3
135,Slytherin,1,male,unicorn hair,half-blood,-147,14,23,21,24,17,10,3,39,0,15,29,12,87,-1,-1,-3,-1,-1,-1,-10,-20,10,-1,-3,0,-10,-5,-20,-1,10,5,0,-20,0,-5,10,-20,-10,0,0,-5,0,-20,-10,-5,0,1,-5,0,-10,20,-10,-5
136,Hufflepuff,2,male,dragon heartstring,half-blood,-4,38,15,28,42,36,25,54,52,43,52,34,37,58,3,-20,10,-1,-20,0,3,10,-5,-20,3,1,-5,-1,0,0,-10,0,1,-3,3,5,-10,10,-5,0,3,0,20,-10,20,-1,3,5,-20,5,3,-1,10,10
137,Ravenclaw,6,female,phoenix feather,half-blood,151,70,59,58,53,39,62,66,57,53,54,56,70,56,1,3,0,5,0,0,5,-1,3,20,5,5,0,3,10,-20,10,10,5,1,10,20,1,0,5,5,0,5,5,5,5,5,5,1,5,0,3,0,1,5
138,Ravenclaw,1,female,phoenix feather,pure-blood,194,69,79,83,64,67,60,75,75,63,54,66,55,68,20,1,10,0,-10,10,-10,10,5,3,1,3,10,1,20,20,-5,5,5,5,1,20,3,1,1,-3,10,10,1,10,1,0,0,5,5,20,20,5,0,-20
139,Hufflepuff,7,male,unicorn hair,half-blood,-23,55,36,37,33,25,33,43,34,34,25,30,48,57,0,3,-20,0,3,-1,-3,1,0,20,5,5,1,10,1,-10,-5,1,10,-20,-20,5,20,-20,0,10,20,20,5,-5,-3,20,5,-20,-20,-5,-1,-10,-5,-20
140,Ravenclaw,5,male,phoenix feather,pure-blood,107,50,68,48,57,59,62,58,57,65,61,71,72,54,10,0,3,-5,-3,0,5,5,1,1,3,0,10,0,10,10,1,0,20,3,-5,0,-5,0,5,0,10,5,1,-10,20,1,10,10,-5,5,0,0,-10,1
141,Ravenclaw,6,male,unicorn hair,pure-blood,111,46,53,57,44,69,51,33,46,55,55,40,50,66,5,0,20,-10,-5,10,10,0,1,3,0,5,10,1,1,-10,0,5,20,1,-5,1,-5,5,0,1,20,0,10,1,0,3,10,1,0,-1,3,-5,0,5
142,Ravenclaw,6,female,dragon heartstring,half-blood,112,41,74,76,73,78,69,62,45,50,58,69,56,58,0,-10,5,5,1,20,0,5,5,10,1,10,1,10,10,-5,20,10,3,10,1,0,-1,10,1,-5,0,3,5,-10,-1,3,5,0,5,0,3,-20,1,1
143,Hufflepuff,1,male,unicorn hair,muggle-born,41,58,52,52,36,44,47,48,27,47,33,43,38,45,0,-5,10,-5,1,10,-20,-5,5,1,0,5,10,5,5,1,3,10,0,0,-1,-10,3,-5,-1,5,-3,1,1,5,20,-5,20,-20,-1,1,-5,0,5,0
144,Hufflepuff,2,female,dragon heartstring,pure-blood,36,48,48,57,37,22,43,35,42,41,43,46,47,50,-1,5,20,20,-3,10,20,0,0,0,5,-5,0,20,-1,5,-20,0,5,-3,10,0,1,5,5,3,-1,10,-10,-10,-5,0,-5,-5,-10,0,-10,0,1,-20
145,Ravenclaw,1,female,phoenix feather,half-blood,106,42,39,49,17,41,51,66,52,70,47,59,69,15,5,-5,5,3,5,0,5,5,0,-20,5,0,5,5,5,0,10,10,1,5,5,1,1,5,0,1,-3,1,5,10,0,5,20,5,-5,-20,5,1,20,0
146,Hufflepuff,7,female,dragon heartstring,half-blood,89,33,61,39,58,58,62,61,47,51,57,80,62,23,-20,0,3,20,-1,-10,1,-20,1,0,0,1,0,-3,20,10,5,10,10,20,-1,0,0,20,10,1,3,0,1,-5,5,0,3,-10,-10,-1,20,1,5,0
147,Hufflepuff,6,male,phoenix feather,half-blood,-45,47,50,31,33,29,29,39,38,43,40,41,17,20,-3,-5,-10,-10,-20,5,-5,5,10,10,3,-5,-20,-5,3,-20,0,0,-10,20,5,1,10,0,-10,-5,-3,10,0,3,1,-20,0,5,-10,0,-5,5,5,20
148,Ravenclaw,1,female,dragon heartstring,pure-blood,161,56,65,73,63,62,71,73,54,63,51,64,57,7,10,10,3,10,1,0,3,5,1,1,0,1,1,-10,3,10,5,20,5,0,-3,0,0,0,5,0,3,5,1,20,20,5,-1,0,1,5,10,1,-10,20
149,Ravenclaw,3,female,dragon heartstring,half-blood,106,40,63,53,35,34,64,68,53,50,62,56,63,17,-10,1,5,10,1,5,-10,1,-5,0,5,5,1,10,10,0,0,1,5,-10,5,5,-1,-1,1,-5,5,10,0,5,10,20,5,0,-5,10,10,3,-1,5
150,Hufflepuff,2,male,dragon heartstring,half-blood,-11,42,26,40,52,35,34,34,46,40,34,36,46,67,5,-5,0,-10,3,5,5,-1,0,5,-10,-20,-20,1,5,10,0,-3,-10,0,3,5,0,-5,1,1,5,1,1,-20,-10,1,-5,20,10,20,0,5,1,-5
151,Hufflepuff,2,female,dragon heartstring,pure-blood,-98,39,18,32,24,30,33,28,32,18,25,22,26,45,5,-10,-3,5,-20,-20,0,-1,-20,-10,3,-20,3,-10,10,-20,10,20,3,-5,5,-1,-20,5,3,0,5,-20,0,0,5,3,-20,-5,10,5,5,-1,3,0
152,Hufflepuff,4,male,unicorn hair,half-blood,94,43,56,22,65,38,78,52,37,69,52,46,50,67,20,20,1,-10,1,0,3,1,20,10,-5,0,1,5,0,-1,-10,5,10,-5,5,5,10,0,0,3,3,3,-10,3,5,-3,20,10,3,1,-10,-5,-20,5
153,Hufflepuff,2,male,unicorn hair,half-blood,85,38,74,64,50,57,34,45,73,53,58,54,28,11,0,-5,0,1,5,-10,3,5,20,5,-1,20,-20,10,1,0,5,3,10,10,5,-3,-3,10,3,3,10,5,0,5,0,5,0,1,5,-5,-3,0,-20,5
154,Gryffindor,5,female,phoenix feather,half-blood,-16,50,43,44,24,45,36,32,32,37,42,41,38,62,-5,5,0,-5,1,3,10,-5,-20,-10,5,-3,-20,-10,-10,5,10,5,5,1,5,5,1,-3,5,10,-5,-10,-5,-5,3,-5,-10,10,-5,20,1,5,-5,10
155,Ravenclaw,3,male,unicorn hair,half-blood,121,48,79,65,47,66,43,46,59,50,59,58,21,24,-3,5,10,-10,1,0,5,5,0,3,10,1,3,-5,3,5,5,0,3,0,-1,3,3,1,-1,1,-5,20,20,0,1,10,3,5,1,10,0,3,1,5
156,Slytherin,7,female,unicorn hair,half-blood,128,53,75,47,46,59,79,85,58,64,60,54,61,90,0,5,0,-10,20,5,0,-5,5,10,1,10,10,0,3,-10,1,5,3,0,20,1,20,3,-5,5,0,-20,5,5,0,20,0,1,-3,10,10,5,1,-3
157,Gryffindor,7,female,dragon heartstring,muggle-born,-30,38,34,31,40,40,45,25,22,51,39,28,56,60,-1,10,-20,-5,-20,-5,-5,-1,5,-5,-10,5,5,0,5,-5,-5,1,0,10,-3,-10,5,5,-10,0,20,5,0,3,-3,-1,-5,-10,0,5,0,5,0,5
158,Ravenclaw,1,female,phoenix feather,half-blood,212,69,55,65,65,77,71,52,81,62,63,77,68,9,20,0,3,5,0,5,10,5,20,10,0,3,20,0,3,1,10,20,-3,1,1,-5,5,20,10,5,3,3,3,3,0,0,5,-10,5,3,10,3,5,10
159,Slytherin,1,male,unicorn hair,muggle-born,-182,16,39,24,0,18,33,23,16,36,7,22,48,100,5,-1,-5,-20,-3,-5,0,-20,-20,0,-5,-1,-10,5,-3,-5,-3,-5,0,-1,-10,0,-1,20,-10,0,-20,-5,-20,-5,-10,-20,20,-5,-20,0,1,5,-10,5
160,Gryffindor,7,male,dragon heartstring,half-blood,-12,60,36,34,49,50,33,36,28,41,40,36,34,14,5,3,-5,-1,1,5,0,3,5,0,-10,-3,0,0,10,-3,5,5,-3,10,-5,0,-5,1,5,1,-20,10,5,-5,5,-20,-1,-10,1,-5,-1,5,10,-10
161,Slytherin,5,male,dragon heartstring,half-blood,-141,29,13,13,24,4,17,18,19,20,30,23,22,93,0,-1,-1,0,1,0,0,20,-5,-1,-10,5,-5,-1,-20,0,-10,-20,-20,-5,-5,-20,5,-5,10,5,-5,-20,0,1,-3,-10,0,0,0,-5,-5,-5,-1,-5
162,Ravenclaw,6,male,dragon heartstring,half-blood,41,37,53,43,37,55,30,45,58,32,48,55,33,69,0,1,10,-5,0,-3,3,-10,10,1,0,5,1,-3,3,0,10,-20,3,5,-1,-5,3,5,-3,20,5,0,10,0,5,5,0,1,-20,5,1,-1,0,0
163,Gryffindor,3,female,unicorn hair,half-blood,-84,51,29,33,23,29,21,32,33,25,30,27,40,35,20,-20,5,-5,-3,-5,5,3,3,-10,-3,5,-3,10,5,3,10,-10,-10,-20,-5,1,-20,10,10,3,0,-10,-1,-10,3,-5,0,0,-5,-10,5,10,-20,-20
164,Hufflepuff,6,female,unicorn hair,muggle-born,19,34,39,47,56,41,17,42,45,42,42,31,3,55,0,5,-1,-20,5,5,5,5,-5,0,20,5,10,-20,0,0,0,-1,20,1,10,3,-20,0,0,-5,-1,-10,-5,5,5,-5,5,-5,10,5,-5,-10,5,3
165,Gryffindor,5,male,unicorn hair,half-blood,70,44,38,63,49,26,58,59,46,38,60,43,46,55,5,0,-10,10,-10,5,20,10,10,1,-3,-20,10,-5,20,-1,1,10,20,3,20,-20,5,-10,3,10,10,0,-3,1,10,-3,-10,1,-20,5,3,-10,1,1
166,Hufflepuff,6,male,unicorn hair,half-blood,-37,42,31,20,32,42,51,31,36,32,32,33,27,10,-10,0,-20,10,-1,10,-5,0,0,10,5,-5,1,-1,-10,5,-5,10,-10,1,5,0,0,3,1,5,1,-20,-5,1,-1,3,3,-20,5,1,0,1,-10,5
167,Ravenclaw,4,female,phoenix feather,half-blood,198,62,63,70,60,64,75,36,62,73,53,64,69,26,-1,-10,0,20,5,1,1,20,5,20,-1,20,0,20,1,1,0,1,5,20,0,1,1,10,20,0,20,0,1,0,3,5,3,1,10,5,-5,0,5,-10
168,Ravenclaw,1,female,phoenix feather,muggle-born,120,50,66,48,41,51,59,65,42,43,54,45,71,13,0,-3,20,0,0,0,-5,5,5,-10,5,-3,20,5,0,5,3,10,-20,10,1,10,10,3,-3,5,3,3,20,-10,0,20,0,5,0,3,1,0,-1,3
169,Ravenclaw,5,female,dragon heartstring,half-blood,128,45,55,52,38,71,47,54,69,66,50,83,46,26,10,10,10,5,-20,1,5,1,-10,10,3,-10,3,5,0,1,10,20,-3,1,10,5,-10,-5,20,5,10,3,10,3,5,1,5,10,1,-3,0,1,-5,10
170,Hufflepuff,5,female,dragon heartstring,half-blood,-14,19,48,25,40,21,47,39,37,41,45,52,45,60,1,-1,-20,0,-5,-10,-10,1,0,20,10,3,0,0,5,10,0,5,-5,10,-5,1,10,-3,-10,-5,1,5,0,-10,3,10,0,10,20,-5,-10,0,-20,-20
171,Hufflepuff,5,male,dragon heartstring,pure-blood,7,27,52,34,51,23,34,36,29,35,42,28,33,68,0,10,-1,5,1,-20,-5,0,-1,-20,0,0,-3,-3,-5,-1,0,1,0,-10,0,-3,0,10,10,20,1,-3,5,3,-1,10,5,0,-3,-1,1,-5,10,0
172,Hufflepuff,6,male,dragon heartstring,half-blood,-24,35,41,47,37,44,34,27,34,57,49,20,35,10,-20,0,1,0,5,5,-5,0,-3,5,-10,5,1,-5,5,3,-1,3,10,5,5,5,-5,-5,-3,5,1,1,3,3,-10,-3,-3,5,-5,1,-3,-10,0,-10
173,Ravenclaw,4,female,phoenix feather,half-blood,84,58,45,50,42,59,54,34,30,57,47,51,48,56,-5,10,10,0,3,0,10,5,-20,5,3,-5,10,5,3,0,5,5,0,0,0,5,-1,0,0,5,1,-1,5,3,5,0,-10,5,10,5,3,0,10,-5
174,Hufflepuff,7,female,unicorn hair,pure-blood,25,37,54,30,70,49,42,50,46,51,40,45,55,11,3,0,0,5,-5,3,5,0,5,0,3,1,1,-1,5,-10,10,-20,-5,20,3,1,20,5,1,-10,3,0,-1,-10,-3,5,-5,1,0,-20,20,-20,10,5
175,Slytherin,4,male,phoenix feather,half-blood,-121,32,24,35,41,32,8,27,19,16,14,34,0,87,-5,-10,0,-1,3,1,-10,-1,3,0,0,-5,0,-10,1,5,0,-10,-10,-3,-5,5,-5,-10,0,-10,3,10,-1,-10,0,-10,-1,0,-5,5,-20,-10,-5,0
176,Slytherin,2,male,dragon heartstring,half-blood,-139,-0,21,18,11,27,6,31,25,43,27,15,31,82,-1,5,-10,3,0,-10,-10,1,0,-1,-20,-10,-1,-5,0,-3,10,0,5,-10,-5,-5,-1,-5,-5,-1,5,-3,-10,0,-10,-1,-1,-10,0,-20,-5,5,0,-10
177,Hufflepuff,4,male,unicorn hair,half-blood,32,48,47,59,35,31,41,42,46,44,35,51,23,42,1,0,0,-20,-5,3,-5,0,-5,0,-3,0,0,0,-3,5,0,10,-5,5,1,3,5,0,0,1,5,10,-5,-3,5,0,5,10,0,-3,10,-3,10,3
178,Ravenclaw,2,female,dragon heartstring,half-blood,141,54,63,74,61,48,62,71,58,65,73,49,57,65,0,-3,1,5,10,0,0,5,10,1,1,5,5,3,3,1,5,5,10,-3,1,3,10,-1,20,-5,20,10,-5,5,-3,5,3,5,1,3,10,5,-10,0
179,Slytherin,5,female,phoenix feather,half-blood,196,84,60,61,74,73,61,65,73,76,73,55,21,73,10,0,10,20,5,3,20,10,5,-5,-1,10,3,20,10,10,10,0,-20,5,10,0,-10,3,0,-5,-1,5,5,10,0,-3,20,1,10,1,0,10,5,10
180,Slytherin,2,male,unicorn hair,half-blood,-144,21,25,33,43,0,27,4,19,16,24,17,44,92,5,-5,-20,-10,-5,0,-3,-20,-5,-5,-3,-10,-10,-10,5,-5,-5,-1,0,-1,-3,-1,5,0,-5,-1,-10,-5,-5,-1,-1,20,-1,-20,-5,0,-1,3,-5,0
181,Hufflepuff,2,male,unicorn hair,half-blood,97,56,47,43,48,64,51,48,56,62,42,51,38,6,3,1,0,3,3,20,-3,0,0,-1,1,0,0,-5,20,10,10,5,5,5,10,-1,-3,5,-3,0,-20,20,-5,5,-5,1,1,-3,-3,5,5,10,1,0
182,Gryffindor,2,female,dragon heartstring,muggle-born,-106,4,24,16,22,21,13,19,21,34,41,29,13,2,0,-10,1,3,-5,-3,-20,-1,3,0,-5,-20,0,5,-1,-20,0,5,-20,0,5,0,3,-3,5,-1,5,-5,-10,-20,-5,-1,-3,3,-3,1,10,10,1,-10
183,Hufflepuff,1,male,unicorn hair,muggle-born,231,70,64,68,66,53,71,70,64,82,76,62,52,22,0,5,1,1,10,-20,20,0,0,20,20,5,5,10,20,5,1,1,-5,1,-3,-1,3,0,20,5,5,20,20,-3,1,3,5,3,-1,20,1,3,20,10
184,Slytherin,5,female,unicorn hair,half-blood,181,77,77,49,48,66,76,47,74,75,70,73,77,89,5,1,20,10,20,0,1,3,1,1,0,1,3,5,10,1,10,1,10,-10,5,-5,5,1,5,0,0,1,-20,20,5,-3,0,20,0,5,20,20,-1,10
